grid,phi_e[V],distance[m],distance[RE]
37,-1.0260000000000E+00,-1.8860354915580E+07,-2.9603445166504E+00
38,-1.0270000000000E+00,-1.8601993889339E+07,-2.9197918520387E+00
39,-1.0280000000000E+00,-1.8343632863098E+07,-2.8792391874271E+00
40,-1.0290000000000E+00,-1.8085271836857E+07,-2.8386865228154E+00
41,-1.0300000000000E+00,-1.7826910810616E+07,-2.7981338582038E+00
42,-1.0310000000000E+00,-1.7568549784376E+07,-2.7575811935921E+00
43,-1.0320000000000E+00,-1.7310188758135E+07,-2.7170285289805E+00
44,-1.0330000000000E+00,-1.7051827731894E+07,-2.6764758643688E+00
45,-1.0340000000000E+00,-1.6793466705653E+07,-2.6359231997572E+00
46,-1.0350000000000E+00,-1.6535105679412E+07,-2.5953705351456E+00
47,-1.0360000000000E+00,-1.6276744653172E+07,-2.5548178705339E+00
48,-1.0370000000000E+00,-1.6018383626931E+07,-2.5142652059223E+00
49,-1.0380000000000E+00,-1.5760022600690E+07,-2.4737125413106E+00
50,-1.0390000000000E+00,-1.5501661574449E+07,-2.4331598766990E+00
51,-1.0400000000000E+00,-1.5243300548208E+07,-2.3926072120873E+00
52,-1.0410000000000E+00,-1.4984939521967E+07,-2.3520545474757E+00
53,-1.0420000000000E+00,-1.4726578495727E+07,-2.3115018828640E+00
54,-1.0430000000000E+00,-1.4468217469486E+07,-2.2709492182524E+00
55,-1.0440000000000E+00,-1.4209856443245E+07,-2.2303965536407E+00
56,-1.0450000000000E+00,-1.3951495417004E+07,-2.1898438890291E+00
57,-1.0460000000000E+00,-1.3693134390763E+07,-2.1492912244174E+00
58,-1.0470000000000E+00,-1.3434773364523E+07,-2.1087385598058E+00
59,-1.0480000000000E+00,-1.3176412338282E+07,-2.0681858951941E+00
60,-1.0490000000000E+00,-1.2918051312041E+07,-2.0276332305825E+00
61,-1.0500000000000E+00,-1.2659690285800E+07,-1.9870805659708E+00
62,-1.0510000000000E+00,-1.2401329259559E+07,-1.9465279013592E+00
63,-1.0520000000000E+00,-1.2142968233318E+07,-1.9059752367475E+00
64,-1.0530000000000E+00,-1.1884607207078E+07,-1.8654225721359E+00
65,-1.0540000000000E+00,-1.1626246180837E+07,-1.8248699075242E+00
66,-1.0550000000000E+00,-1.1367885154596E+07,-1.7843172429126E+00
67,-1.0560000000000E+00,-1.1109524128355E+07,-1.7437645783009E+00
68,-1.0570000000000E+00,-1.0851163102114E+07,-1.7032119136893E+00
69,-1.0580000000000E+00,-1.0592802075874E+07,-1.6626592490776E+00
70,-1.0590000000000E+00,-1.0334441049633E+07,-1.6221065844660E+00
71,-1.0600000000000E+00,-1.0076080023392E+07,-1.5815539198543E+00
72,-1.0610000000000E+00,-9.8177189971511E+06,-1.5410012552427E+00
73,-1.0620000000000E+00,-9.5593579709102E+06,-1.5004485906310E+00
74,-1.0630000000000E+00,-9.3009969446694E+06,-1.4598959260194E+00
75,-1.0640000000000E+00,-9.0426359184286E+06,-1.4193432614077E+00
76,-1.0650000000000E+00,-8.7842748921878E+06,-1.3787905967961E+00
77,-1.0660000000000E+00,-8.5259138659470E+06,-1.3382379321844E+00
78,-1.0670000000000E+00,-8.2675528397062E+06,-1.2976852675728E+00
79,-1.0680000000000E+00,-8.0091918134653E+06,-1.2571326029611E+00
80,-1.0690000000000E+00,-7.7508307872245E+06,-1.2165799383495E+00
81,-1.0700000000000E+00,-7.4924697609837E+06,-1.1760272737378E+00
82,-1.0710000000000E+00,-7.2341087347429E+06,-1.1354746091262E+00
83,-1.0720000000000E+00,-6.9757477085021E+06,-1.0949219445145E+00
84,-1.0730000000000E+00,-6.7173866822612E+06,-1.0543692799029E+00
85,-1.0740000000000E+00,-6.4590256560204E+06,-1.0138166152912E+00
86,-1.0750000000000E+00,-6.2006646297796E+06,-9.7326395067958E-01
87,-1.0760000000000E+00,-5.9423036035388E+06,-9.3271128606793E-01
88,-1.0770000000000E+00,-5.6839425772980E+06,-8.9215862145628E-01
