grid,phi_e[V],distance[m],distance[RE]
187,2.35360725829577E+02,1.15881597379020E+08,1.81889181257290E+01
188,2.55672528527682E+02,1.16191322051400E+08,1.82375328914460E+01
189,2.71965015905105E+02,1.16501046723780E+08,1.82861476571620E+01
190,2.89884559978786E+02,1.16810771396160E+08,1.83347624228780E+01
191,3.09647886212945E+02,1.17120496068530E+08,1.83833771885940E+01
192,3.31566491878044E+02,1.17430220740910E+08,1.84319919543100E+01
193,3.35780714821437E+02,1.17739945413290E+08,1.84806067200260E+01
194,3.76117211640740E+02,1.18049670085670E+08,1.85292214857430E+01
195,4.14966490262839E+02,1.18359394758040E+08,1.85778362514590E+01
196,4.49654483730271E+02,1.18669119430420E+08,1.86264510171750E+01
197,4.89053374233060E+02,1.18978844102800E+08,1.86750657828910E+01
198,5.34069302909057E+02,1.19288568775180E+08,1.87236805486070E+01
199,5.85865468761197E+02,1.19598293447550E+08,1.87722953143230E+01
200,6.45893834286486E+02,1.19908018119930E+08,1.88209100800400E+01
201,7.15987618186157E+02,1.20217742792310E+08,1.88695248457560E+01
202,7.98288853116324E+02,1.20527467464690E+08,1.89181396114720E+01
203,8.91593735003863E+02,1.20837192137070E+08,1.89667543771880E+01
204,9.00000000000000E+03,1.21146916809440E+08,1.90153691429040E+01
205,9.00000000000000E+03,1.21456641481820E+08,1.90639839086200E+01
206,9.00000000000000E+03,1.21766366154200E+08,1.91125986743370E+01
207,9.00000000000000E+03,1.22076090826580E+08,1.91612134400530E+01
208,9.00000000000000E+03,1.22385815498950E+08,1.92098282057690E+01
209,9.00000000000000E+03,1.22695540171330E+08,1.92584429714850E+01
210,9.00000000000000E+03,1.23005264843710E+08,1.93070577372010E+01
211,9.99890287150193E+03,1.23314989516090E+08,1.93556725029180E+01
212,9.99892459298774E+03,1.23624714188470E+08,1.94042872686340E+01
213,9.99900470757023E+03,1.23934438860840E+08,1.94529020343500E+01
214,9.99912465018544E+03,1.24244163533220E+08,1.95015168000660E+01
215,9.99926852533297E+03,1.24553888205600E+08,1.95501315657820E+01
216,9.99942850432265E+03,1.24863612877980E+08,1.95987463314980E+01
217,9.99960303885944E+03,1.25173337550350E+08,1.96473610972150E+01
218,9.99979294233716E+03,1.25483062222730E+08,1.96959758629310E+01
219,1.00000000000000E+04,1.25792786895110E+08,1.97445906286470E+01
