grid,phi_e[V],distance[m],distance[RE]
56,-1.4672734008457E-01,7.1049282216226E+06,1.1151982768204E+00
57,-1.4799707954537E-01,7.2341087347430E+06,1.1354746091262E+00
58,-1.4924201212185E-01,7.3632892478634E+06,1.1557509414320E+00
59,-1.5046277506887E-01,7.4924697609838E+06,1.1760272737378E+00
60,-1.5165998303675E-01,7.6216502741042E+06,1.1963036060437E+00
61,-1.5283422906310E-01,7.7508307872246E+06,1.2165799383495E+00
62,-1.5398608551314E-01,7.8800113003450E+06,1.2368562706553E+00
63,-1.5511610497153E-01,8.0091918134654E+06,1.2571326029611E+00
64,-1.5622482108853E-01,8.1383723265858E+06,1.2774089352670E+00
65,-1.5731274938338E-01,8.2675528397063E+06,1.2976852675728E+00
66,-1.5838038800714E-01,8.3967333528267E+06,1.3179615998786E+00
67,-1.5942821846765E-01,8.5259138659471E+06,1.3382379321844E+00
68,-1.6045670631858E-01,8.6550943790675E+06,1.3585142644903E+00
69,-1.6146630181471E-01,8.7842748921879E+06,1.3787905967961E+00
70,-1.6245744053530E-01,8.9134554053083E+06,1.3990669291019E+00
71,-1.6343054397751E-01,9.0426359184287E+06,1.4193432614077E+00
72,-1.6438602012127E-01,9.1718164315491E+06,1.4396195937136E+00
73,-1.6532426396745E-01,9.3009969446695E+06,1.4598959260194E+00
74,-1.6624565805067E-01,9.4301774577899E+06,1.4801722583252E+00
75,-1.6715057292806E-01,9.5593579709104E+06,1.5004485906310E+00
76,-1.6803936764552E-01,9.6885384840308E+06,1.5207249229369E+00
77,-1.6891239018234E-01,9.8177189971512E+06,1.5410012552427E+00
78,-1.6976997787571E-01,9.9468995102716E+06,1.5612775875485E+00
79,-1.7061245782583E-01,1.0076080023392E+07,1.5815539198543E+00
80,-1.7144014728293E-01,1.0205260536512E+07,1.6018302521602E+00
81,-1.7225335401697E-01,1.0334441049633E+07,1.6221065844660E+00
82,-1.7305237667092E-01,1.0463621562753E+07,1.6423829167718E+00
83,-1.7383750509860E-01,1.0592802075874E+07,1.6626592490776E+00
84,-1.7460902068769E-01,1.0721982588994E+07,1.6829355813835E+00
85,-1.7536719666878E-01,1.0851163102114E+07,1.7032119136893E+00
86,-1.7611229841112E-01,1.0980343615235E+07,1.7234882459951E+00
87,-1.7684458370573E-01,1.1109524128355E+07,1.7437645783009E+00
88,-1.7756430303651E-01,1.1238704641476E+07,1.7640409106068E+00
89,-1.7827169983993E-01,1.1367885154596E+07,1.7843172429126E+00
90,-1.7896701075383E-01,1.1497065667717E+07,1.8045935752184E+00
91,-1.7965046585595E-01,1.1626246180837E+07,1.8248699075242E+00
92,-1.8032228889253E-01,1.1755426693957E+07,1.8451462398301E+00
93,-1.8098269749763E-01,1.1884607207078E+07,1.8654225721359E+00
94,-1.8163190340347E-01,1.2013787720198E+07,1.8856989044417E+00
95,-1.8227011264227E-01,1.2142968233319E+07,1.9059752367475E+00
96,-1.8289752574000E-01,1.2272148746439E+07,1.9262515690534E+00
97,-1.8351433790239E-01,1.2401329259559E+07,1.9465279013592E+00
98,-1.8412073919355E-01,1.2530509772680E+07,1.9668042336650E+00
99,-1.8471691470756E-01,1.2659690285800E+07,1.9870805659708E+00
100,-1.8530304473336E-01,1.2788870798921E+07,2.0073568982767E+00
101,-1.8587930491320E-01,1.2918051312041E+07,2.0276332305825E+00
102,-1.8644586639495E-01,1.3047231825161E+07,2.0479095628883E+00
103,-1.8700289597861E-01,1.3176412338282E+07,2.0681858951941E+00
104,-1.8755055625712E-01,1.3305592851402E+07,2.0884622275000E+00
105,-1.8808900575195E-01,1.3434773364523E+07,2.1087385598058E+00
106,-1.8861839904342E-01,1.3563953877643E+07,2.1290148921116E+00
107,-1.8913888689627E-01,1.3693134390764E+07,2.1492912244174E+00
108,-1.8965061638042E-01,1.3822314903884E+07,2.1695675567233E+00
109,-1.9015373098729E-01,1.3951495417004E+07,2.1898438890291E+00
110,-1.9064837074183E-01,1.4080675930125E+07,2.2101202213349E+00
111,-1.9113467231042E-01,1.4209856443245E+07,2.2303965536407E+00
112,-1.9161276910478E-01,1.4339036956366E+07,2.2506728859466E+00
113,-1.9208279138216E-01,1.4468217469486E+07,2.2709492182524E+00
114,-1.9254486634184E-01,1.4597397982606E+07,2.2912255505582E+00
115,-1.9299911821817E-01,1.4726578495727E+07,2.3115018828640E+00
116,-1.9344566837028E-01,1.4855759008847E+07,2.3317782151699E+00
117,-1.9388463536854E-01,1.4984939521968E+07,2.3520545474757E+00
118,-1.9431613507797E-01,1.5114120035088E+07,2.3723308797815E+00
119,-1.9474028073865E-01,1.5243300548208E+07,2.3926072120873E+00
120,-1.9515718304332E-01,1.5372481061329E+07,2.4128835443932E+00
121,-1.9556695021222E-01,1.5501661574449E+07,2.4331598766990E+00
122,-1.9596968806528E-01,1.5630842087570E+07,2.4534362090048E+00
