grid,phi_e[V],distance[m],distance[RE]
74,1.67686112171426E+00,4.6508300000000E+07,7.3000000000000E+00
75,1.74099799953028E+00,4.7145400000000E+07,7.4000000000000E+00
76,1.80750481530783E+00,4.7782500000000E+07,7.5000000000000E+00
77,1.87643195410067E+00,4.8419600000000E+07,7.6000000000000E+00
78,1.94789313798429E+00,4.9056700000000E+07,7.7000000000000E+00
79,2.02203022513770E+00,4.9693800000000E+07,7.8000000000000E+00
80,2.09870291902622E+00,5.0330900000000E+07,7.9000000000000E+00
81,2.17860430218288E+00,5.0968000000000E+07,8.0000000000000E+00
82,2.26126588733011E+00,5.1605100000000E+07,8.1000000000000E+00
83,2.34708376686692E+00,5.2242200000000E+07,8.2000000000000E+00
84,2.43608164083783E+00,5.2879300000000E+07,8.3000000000000E+00
85,2.52841823660763E+00,5.3516400000000E+07,8.4000000000000E+00
86,2.62422373228419E+00,5.4153500000000E+07,8.5000000000000E+00
87,2.72362784135926E+00,5.4790600000000E+07,8.6000000000000E+00
88,2.82676227538650E+00,5.5427700000000E+07,8.7000000000000E+00
89,2.93371623063222E+00,5.6064800000000E+07,8.8000000000000E+00
90,3.04479050490565E+00,5.6701900000000E+07,8.9000000000000E+00
91,3.15992754525486E+00,5.7339000000000E+07,9.0000000000000E+00
92,3.27940770682900E+00,5.7976100000000E+07,9.1000000000000E+00
93,3.40326013395974E+00,5.8613200000000E+07,9.2000000000000E+00
94,3.53177564115223E+00,5.9250300000000E+07,9.3000000000000E+00
95,3.66508162190854E+00,5.9887400000000E+07,9.4000000000000E+00
96,3.80321089154323E+00,6.0524500000000E+07,9.5000000000000E+00
97,3.94655696410826E+00,6.1161600000000E+07,9.6000000000000E+00
98,4.09516551668386E+00,6.1798700000000E+07,9.7000000000000E+00
99,4.24919078583938E+00,6.2435800000000E+07,9.8000000000000E+00
100,4.40904168203057E+00,6.3072900000000E+07,9.9000000000000E+00
101,4.57492573851200E+00,6.3710000000000E+07,1.0000000000000E+01
102,4.74702346673807E+00,6.4347100000000E+07,1.0100000000000E+01
103,4.92564656230783E+00,6.4984200000000E+07,1.0200000000000E+01
104,5.11109207000397E+00,6.5621300000000E+07,1.0300000000000E+01
105,5.30364704046963E+00,6.6258400000000E+07,1.0400000000000E+01
106,5.50373236800177E+00,6.6895500000000E+07,1.0500000000000E+01
107,5.71168241209241E+00,6.7532600000000E+07,1.0600000000000E+01
108,5.92797886644694E+00,6.8169700000000E+07,1.0700000000000E+01
109,6.15291162535599E+00,6.8806800000000E+07,1.0800000000000E+01
110,6.38697400076042E+00,6.9443900000000E+07,1.0900000000000E+01
111,6.63070135729925E+00,7.0081000000000E+07,1.1000000000000E+01
112,6.88432728142083E+00,7.0718100000000E+07,1.1100000000000E+01
113,7.14880163511330E+00,7.1355200000000E+07,1.1200000000000E+01
114,7.42406523311665E+00,7.1992300000000E+07,1.1300000000000E+01
115,7.71132774548917E+00,7.2629400000000E+07,1.1400000000000E+01
116,8.01079716598811E+00,7.3266500000000E+07,1.1500000000000E+01
117,8.32344479493789E+00,7.3903600000000E+07,1.1600000000000E+01
118,8.65009289205931E+00,7.4540700000000E+07,1.1700000000000E+01
119,8.99123651862223E+00,7.5177800000000E+07,1.1800000000000E+01
120,9.34792914452022E+00,7.5814900000000E+07,1.1900000000000E+01
121,9.72102886080437E+00,7.6452000000000E+07,1.2000000000000E+01
122,1.01120597861596E+01,7.7089100000000E+07,1.2100000000000E+01
123,1.05213993318326E+01,7.7726200000000E+07,1.2200000000000E+01
124,1.09510141339808E+01,7.8363300000000E+07,1.2300000000000E+01
125,1.14018475600272E+01,7.9000400000000E+07,1.2400000000000E+01
126,1.18749003921808E+01,7.9637500000000E+07,1.2500000000000E+01
127,1.23725297914837E+01,8.0274600000000E+07,1.2600000000000E+01
128,1.28954316607510E+01,8.0911700000000E+07,1.2700000000000E+01
129,1.34457121147165E+01,8.1548800000000E+07,1.2800000000000E+01
130,1.40247440089511E+01,8.2185900000000E+07,1.2900000000000E+01
131,1.46349786975850E+01,8.2823000000000E+07,1.3000000000000E+01
132,1.52780033032327E+01,8.3460100000000E+07,1.3100000000000E+01
133,1.59567247784446E+01,8.4097200000000E+07,1.3200000000000E+01
134,1.66728495430268E+01,8.4734300000000E+07,1.3300000000000E+01
135,1.74292822471466E+01,8.5371400000000E+07,1.3400000000000E+01
136,1.82288887857328E+01,8.6008500000000E+07,1.3500000000000E+01
137,1.90748877622523E+01,8.6645600000000E+07,1.3600000000000E+01
138,1.99708707119693E+01,8.7282700000000E+07,1.3700000000000E+01
139,2.09197045610334E+01,8.7919800000000E+07,1.3800000000000E+01
140,2.19270766709375E+01,8.8556900000000E+07,1.3900000000000E+01
141,2.29954076571951E+01,8.9194000000000E+07,1.4000000000000E+01
142,2.41302173556598E+01,8.9831100000000E+07,1.4100000000000E+01
143,2.53364971872927E+01,9.0468200000000E+07,1.4200000000000E+01
144,2.66190065155272E+01,9.1105300000000E+07,1.4300000000000E+01
145,2.79849872329637E+01,9.1742400000000E+07,1.4400000000000E+01
146,2.94399492735472E+01,9.2379500000000E+07,1.4500000000000E+01
147,3.09916758191287E+01,9.3016600000000E+07,1.4600000000000E+01
148,3.26481069317315E+01,9.3653700000000E+07,1.4700000000000E+01
149,3.44190212311211E+01,9.4290800000000E+07,1.4800000000000E+01
150,3.63137645724981E+01,9.4927900000000E+07,1.4900000000000E+01
151,3.83434208389588E+01,9.5565000000000E+07,1.5000000000000E+01
152,4.05209330488934E+01,9.6202100000000E+07,1.5100000000000E+01
153,4.28596473244069E+01,9.6839200000000E+07,1.5200000000000E+01
154,4.53734315638344E+01,9.7476300000000E+07,1.5300000000000E+01
155,4.80816499195217E+01,9.8113400000000E+07,1.5400000000000E+01
156,5.10002199619032E+01,9.8750500000000E+07,1.5500000000000E+01
157,5.41534414442904E+01,9.9387600000000E+07,1.5600000000000E+01
158,5.75622605601223E+01,1.0002470000000E+08,1.5700000000000E+01
159,6.12564667559734E+01,1.0066180000000E+08,1.5800000000000E+01
160,6.52640159935507E+01,1.0129890000000E+08,1.5900000000000E+01
161,6.96217404111224E+01,1.0193600000000E+08,1.6000000000000E+01
162,7.43682295249194E+01,1.0257310000000E+08,1.6100000000000E+01
163,7.95460557812046E+01,1.0321020000000E+08,1.6200000000000E+01
164,8.52084636959237E+01,1.0384730000000E+08,1.6300000000000E+01
165,9.14122717529682E+01,1.0448440000000E+08,1.6400000000000E+01
166,9.82221400626691E+01,1.0512150000000E+08,1.6500000000000E+01
167,1.05716625048104E+02,1.0575860000000E+08,1.6600000000000E+01
168,1.13984215666019E+02,1.0639570000000E+08,1.6700000000000E+01
169,1.23129312374441E+02,1.0703280000000E+08,1.6800000000000E+01
170,1.33268578521733E+02,1.0766990000000E+08,1.6900000000000E+01
171,1.44545600201053E+02,1.0830700000000E+08,1.7000000000000E+01
172,1.57122015319894E+02,1.0894410000000E+08,1.7100000000000E+01
173,1.71193983541585E+02,1.0958120000000E+08,1.7200000000000E+01
174,1.86993435313743E+02,1.1021830000000E+08,1.7300000000000E+01
175,2.04794514807586E+02,1.1085540000000E+08,1.7400000000000E+01
176,2.24935365745716E+02,1.1149250000000E+08,1.7500000000000E+01
177,2.47820484419773E+02,1.1212960000000E+08,1.7600000000000E+01
178,2.73939100379524E+02,1.1276670000000E+08,1.7700000000000E+01
179,3.03894972889804E+02,1.1340380000000E+08,1.7800000000000E+01
